order,date,closing_price,trading_volume,number_of_issued_shares,revenue,NetIncome
822,2018-05-04,51900,39565391,6419324700,584826.6,110434.1
823,2018-05-08,52600,23104720,6419324700,584826.6,110434.1
824,2018-05-09,50900,16128305,6419324700,584826.6,110434.1
825,2018-05-10,51600,13905263,6419324700,584826.6,110434.1
826,2018-05-11,51300,10314997,6419324700,584826.6,110434.1
827,2018-05-14,50100,14909272,6419324700,584826.6,110434.1
828,2018-05-15,49200,18709146,6419324700,584826.6,110434.1
829,2018-05-16,49850,15918683,6419324700,584826.6,110434.1
830,2018-05-17,49400,10365440,6419324700,584826.6,110434.1
831,2018-05-18,49500,6706570,6419324700,584826.6,110434.1
832,2018-05-21,50000,9020998,6419324700,584826.6,110434.1
833,2018-05-23,51800,17095490,6419324700,584826.6,110434.1
834,2018-05-24,51400,8289275,6419324700,584826.6,110434.1
835,2018-05-25,52700,15207266,6419324700,584826.6,110434.1
836,2018-05-28,52300,9787820,6419324700,584826.6,110434.1
837,2018-05-29,51300,8480437,6419324700,584826.6,110434.1
838,2018-05-30,49500,20498098,6419324700,584826.6,110434.1
839,2018-05-31,50700,63491109,6419324700,584826.6,110434.1
840,2018-06-01,51300,13038499,6419324700,584826.6,110434.1
841,2018-06-04,51100,9767171,6419324700,584826.6,110434.1
842,2018-06-05,51300,9144100,6419324700,584826.6,110434.1
843,2018-06-07,50600,13590016,6419324700,584826.6,110434.1
844,2018-06-08,49650,16951706,6419324700,584826.6,110434.1
845,2018-06-11,49900,10571312,6419324700,584826.6,110434.1
846,2018-06-12,49400,12110569,6419324700,584826.6,110434.1
847,2018-06-14,48200,20971729,6419324700,584826.6,110434.1
848,2018-06-15,47650,17080892,6419324700,584826.6,110434.1
849,2018-06-18,46600,16661870,6419324700,584826.6,110434.1
850,2018-06-19,47000,15217971,6419324700,584826.6,110434.1
851,2018-06-20,47000,12959316,6419324700,584826.6,110434.1
852,2018-06-21,47050,10015541,6419324700,584826.6,110434.1
853,2018-06-22,47250,10298006,6419324700,584826.6,110434.1
854,2018-06-25,46650,10587711,6419324700,584826.6,110434.1
855,2018-06-26,47000,11223166,6419324700,584826.6,110434.1
856,2018-06-27,47950,15274752,6419324700,584826.6,110434.1
857,2018-06-28,46800,12784800,6419324700,584826.6,110434.1
858,2018-06-29,46650,14099635,6419324700,584826.6,110434.1
859,2018-07-02,45550,13112253,6419324700,654599.9,131507.2
860,2018-07-03,46150,10959655,6419324700,654599.9,131507.2
861,2018-07-04,46250,8776763,6419324700,654599.9,131507.2
862,2018-07-05,45950,7039773,6419324700,654599.9,131507.2
863,2018-07-06,44900,17843706,6419324700,654599.9,131507.2
864,2018-07-09,45600,11602464,6419324700,654599.9,131507.2
865,2018-07-10,46300,10528665,6419324700,654599.9,131507.2
866,2018-07-11,46000,11224077,6419324700,654599.9,131507.2
867,2018-07-12,45500,11828104,6419324700,654599.9,131507.2
868,2018-07-13,46500,11543389,6419324700,654599.9,131507.2
869,2018-07-16,46050,7678719,6419324700,654599.9,131507.2
870,2018-07-17,45850,8892953,6419324700,654599.9,131507.2
871,2018-07-18,46550,10952645,6419324700,654599.9,131507.2
872,2018-07-19,46900,9880128,6419324700,654599.9,131507.2
873,2018-07-20,47450,10474547,6419324700,654599.9,131507.2
874,2018-07-23,46500,10823782,6419324700,654599.9,131507.2
875,2018-07-24,46150,8261363,6419324700,654599.9,131507.2
876,2018-07-25,46150,7222471,6419324700,654599.9,131507.2
877,2018-07-26,46900,7374946,6419324700,654599.9,131507.2
878,2018-07-27,46900,4762460,6419324700,654599.9,131507.2
879,2018-07-30,46500,5723035,6419324700,654599.9,131507.2
880,2018-07-31,46250,8033607,6419324700,654599.9,131507.2
881,2018-08-01,46550,7484499,6419324700,654599.9,131507.2
882,2018-08-02,45550,8560924,6419324700,654599.9,131507.2
883,2018-08-03,45750,8274944,6419324700,654599.9,131507.2
884,2018-08-06,45800,6771979,6419324700,654599.9,131507.2
885,2018-08-07,46700,9058174,6419324700,654599.9,131507.2
886,2018-08-08,46800,6429338,6419324700,654599.9,131507.2
887,2018-08-09,46900,12010886,6419324700,654599.9,131507.2
888,2018-08-10,45400,16670643,6419324700,654599.9,131507.2
889,2018-08-13,45050,9803831,6419324700,654599.9,131507.2
890,2018-08-14,45150,6409259,6419324700,654599.9,131507.2
891,2018-08-16,44250,10088229,6419324700,654599.9,131507.2
892,2018-08-17,44100,6808747,6419324700,654599.9,131507.2
893,2018-08-20,43850,7289124,6419324700,654599.9,131507.2
894,2018-08-21,44800,9520270,6419324700,654599.9,131507.2
895,2018-08-22,46100,11641656,6419324700,654599.9,131507.2
896,2018-08-23,46200,6730918,6419324700,654599.9,131507.2
897,2018-08-24,46150,6582535,6419324700,654599.9,131507.2
898,2018-08-27,46300,5263782,6419324700,654599.9,131507.2
899,2018-08-28,46550,7365976,6419324700,654599.9,131507.2
900,2018-08-29,46800,5572374,6419324700,654599.9,131507.2
901,2018-08-30,47650,12193231,6419324700,654599.9,131507.2
902,2018-08-31,48450,13577454,6419324700,654599.9,131507.2
903,2018-09-03,47450,8595084,6419324700,654599.9,131507.2
904,2018-09-04,47650,6791255,6419324700,654599.9,131507.2
905,2018-09-05,46600,9139998,6419324700,654599.9,131507.2
906,2018-09-06,46100,9040553,6419324700,654599.9,131507.2
907,2018-09-07,44900,18285508,6419324700,654599.9,131507.2
908,2018-09-10,45500,9979838,6419324700,654599.9,131507.2
909,2018-09-11,45050,9865790,6419324700,654599.9,131507.2
910,2018-09-12,44550,12995269,6419324700,654599.9,131507.2
911,2018-09-13,44050,18277942,6419324700,654599.9,131507.2
912,2018-09-14,45850,12446344,6419324700,654599.9,131507.2
913,2018-09-17,45150,8123384,6419324700,654599.9,131507.2
914,2018-09-18,45500,9987090,6419324700,654599.9,131507.2
915,2018-09-19,46150,9367454,6419324700,654599.9,131507.2
916,2018-09-20,47250,13536966,6419324700,654599.9,131507.2
917,2018-09-21,47400,14476906,6419324700,654599.9,131507.2
918,2018-09-27,47500,15804586,6419324700,654599.9,131507.2
919,2018-09-28,46450,11270515,6419324700,654599.9,131507.2
920,2018-10-01,46350,6354983,6419324700,592650.6,84621.9
921,2018-10-02,45700,6607188,6419324700,592650.6,84621.9
922,2018-10-04,44700,11865327,6419324700,592650.6,84621.9
923,2018-10-05,44700,10544165,6419324700,592650.6,84621.9
924,2018-10-08,44950,6759464,6419324700,592650.6,84621.9
925,2018-10-10,45300,10341349,6419324700,592650.6,84621.9
926,2018-10-11,43100,19324537,6419324700,592650.6,84621.9
927,2018-10-12,44000,12640906,6419324700,592650.6,84621.9
928,2018-10-15,43800,7434522,6419324700,592650.6,84621.9
929,2018-10-16,43600,6825677,6419324700,592650.6,84621.9
930,2018-10-17,44150,8306193,6419324700,592650.6,84621.9
931,2018-10-18,44050,8347725,6419324700,592650.6,84621.9
932,2018-10-19,43900,7842520,6419324700,592650.6,84621.9
933,2018-10-22,43550,8357648,6419324700,592650.6,84621.9
934,2018-10-23,43050,9531231,6419324700,592650.6,84621.9
935,2018-10-24,42550,13522825,6419324700,592650.6,84621.9
936,2018-10-25,41000,19338170,6419324700,592650.6,84621.9
937,2018-10-26,41000,14413864,6419324700,592650.6,84621.9
938,2018-10-29,41400,14460521,6419324700,592650.6,84621.9
939,2018-10-30,42350,14205190,6419324700,592650.6,84621.9
940,2018-10-31,42400,17621480,6419324700,592650.6,84621.9
941,2018-11-01,42150,13423132,6419324700,592650.6,84621.9
942,2018-11-02,44150,16517112,6419324700,592650.6,84621.9
943,2018-11-05,43800,9426777,6419324700,592650.6,84621.9
944,2018-11-06,43750,7713625,6419324700,592650.6,84621.9
945,2018-11-07,44000,11553998,6419324700,592650.6,84621.9
946,2018-11-08,44050,12617397,6419324700,592650.6,84621.9
947,2018-11-09,44300,7318500,6419324700,592650.6,84621.9
948,2018-11-12,45200,8552566,6419324700,592650.6,84621.9
949,2018-11-13,44500,9311126,6419324700,592650.6,84621.9
950,2018-11-14,44100,6783344,6419324700,592650.6,84621.9
951,2018-11-15,44250,5864067,6419324700,592650.6,84621.9
952,2018-11-16,44000,7777124,6419324700,592650.6,84621.9
953,2018-11-19,43650,7538720,6419324700,592650.6,84621.9
954,2018-11-20,42800,9420664,6419324700,592650.6,84621.9
955,2018-11-21,42100,10769589,6419324700,592650.6,84621.9
956,2018-11-22,42450,5970796,6419324700,592650.6,84621.9
957,2018-11-23,42400,5192638,6419324700,592650.6,84621.9
958,2018-11-26,42600,6613009,6419324700,592650.6,84621.9
959,2018-11-27,43050,8367091,6419324700,592650.6,84621.9
